,ONS SOC,ONS Title,Display,Exposure,Proximity,RIF,Employment (tot),Employment (m),Employment (f),Median weekly pay,Mean weekly pay,Median weekly pay (m),Mean weekly pay (m),Median weekly pay (f),Mean weekly pay (f),Female percent
132,5114,Groundsmen and greenkeepers,0,9,76,54.11561696959575,31600,31200,-1,393.5,394.6,393.7,414.7,383.8,437.6,0.0
133,5211,Smiths and forge workers,0,13,71,51.039200620699376,3700,3700,-1,-1.0,383.0,-1.0,-1.0,-1.0,-1.0,0.0
134,5212,"Moulders, core makers and die casters",0,4,61,43.22614949310197,-1,-1,-1,446.9,421.5,452.7,490.8,-1.0,-1.0,0.0
135,5213,Sheet metal workers,0,10,67,47.900939447989956,15600,15200,-1,525.7,552.9,529.8,564.3,-1.0,-1.0,0.0
136,5214,"Metal plate workers, and riveters",0,10,67,47.900939447989956,5600,5400,-1,580.8,644.0,580.8,645.9,-1.0,-1.0,0.0
137,5215,Welding trades,0,0,42,29.698484809834994,60900,60000,-1,537.6,577.2,539.0,585.9,380.7,419.8,0.0
138,5216,Pipe fitters,0,45,67,57.0701322935211,6400,6400,-1,778.2,866.8,778.2,886.9,-1.0,-1.0,0.0
139,5221,Metal machining setters and setter-operators,0,4,52,36.87817782917155,51500,48600,2900,537.6,570.4,538.9,581.0,-1.0,497.1,0.05631068
140,5222,"Tool makers, tool fitters and markers-out",0,0,57,40.30508652763321,13200,12900,-1,582.5,567.7,588.9,619.0,-1.0,-1.0,0.0
141,5224,Precision instrument makers and repairers,0,7,48,34.30014577228499,22800,20200,-1,522.8,531.9,499.6,524.2,-1.0,-1.0,0.0
142,5225,Air-conditioning and refrigeration engineers,0,15,66,47.85916840063145,15600,15300,-1,662.9,664.5,662.9,694.3,-1.0,-1.0,0.0
143,5231,"Vehicle technicians, mechanics and electricians",0,3,43,30.479501308256342,176600,174400,-1,538.1,549.1,539.2,564.4,428.8,483.7,0.0
144,5232,Vehicle body builders and repairers ,0,0,46,32.526911934581186,25600,25400,-1,517.5,524.7,517.5,534.9,-1.0,-1.0,0.0
145,5234,Vehicle paint technicians,0,16,74,53.53503525729669,10900,10600,-1,530.2,520.6,534.0,543.1,-1.0,-1.0,0.0
146,5235,Aircraft maintenance and related trades,0,4,54,38.28837943815329,27200,25000,-1,770.9,812.2,769.7,830.0,-1.0,891.3,0.0
147,5236,Boat and ship builders and repairers,0,16,72,52.153619241621186,15700,15600,-1,598.0,679.8,585.3,664.3,-1.0,-1.0,0.0
148,5237,Rail and rolling stock builders and repairers,0,3,65,46.01086828130936,8600,8200,-1,806.3,745.5,806.3,779.2,-1.0,-1.0,0.0
149,5241,Electricians and electrical fitters,0,11,75,53.60037313302958,262300,257600,4700,635.6,641.0,637.2,657.8,439.8,514.9,0.017918414
150,5242,Telecommunications engineers,0,3,52,36.83069372140579,56100,53100,3000,651.3,673.4,653.3,679.2,-1.0,733.8,0.053475936
151,5244,"Tv, video and audio engineers",0,5,60,42.573465914816,7100,7000,-1,626.3,582.2,626.3,607.0,-1.0,-1.0,0.0
152,5245,It engineers,0,0,44,31.112698372208087,35600,34000,-1,595.0,597.5,594.7,631.7,-1.0,-1.0,0.0
153,5249,Electrical and electronic trades n.e.c.,0,11,75,53.60037313302958,80900,78300,2500,652.5,660.9,655.3,674.9,582.4,615.8,0.030902349
154,5250,"Skilled metal, electrical and electronic trades supervisors",0,19,69,50.60632371551998,38400,35500,-1,682.8,718.3,684.0,740.2,655.6,754.7,0.0
155,5311,Steel erectors,0,10,87,61.92333970321691,7700,7700,-1,556.7,592.4,556.7,640.3,-1.0,-1.0,0.0
156,5312,Bricklayers and masons,0,4,83,58.75797818169035,76600,75600,-1,529.2,529.3,529.2,548.6,-1.0,-1.0,0.0
157,5313,"Roofers, roof tilers and slaters",0,4,77,54.520638294135914,49500,49500,-1,469.2,500.6,469.2,517.9,-1.0,-1.0,0.0
158,5314,Plumbers and heating and ventilating engineers,0,58,60,59.00847396772772,193600,192400,-1,600.4,603.7,604.3,617.5,478.7,536.4,0.0
159,5315,Carpenters and joiners,0,12,77,55.1044462815842,216300,213500,-1,532.6,538.9,533.3,551.0,278.4,326.7,0.0
160,5316,"Glaziers, window fabricators and fitters",0,18,69,50.42320894191482,41000,40800,-1,420.3,436.4,421.7,450.0,-1.0,-1.0,0.0
161,5319,Construction and building trades n.e.c.,0,10,73,52.100863716449076,245500,235800,9700,536.0,538.6,540.9,583.8,481.5,535.9,0.039511202
162,5321,Plasterers,0,6,61,43.34166586553867,46300,46300,-1,525.1,521.2,525.1,542.6,-1.0,-1.0,0.0
163,5322,Floorers and wall tilers,0,1,62,43.846322536787504,28000,27700,-1,483.9,510.9,483.9,514.6,-1.0,-1.0,0.0
164,5323,Painters and decorators,0,1,58,41.018288603987365,130700,121200,9500,480.1,473.2,480.8,499.5,366.5,378.6,0.07268553900000001
165,5330,Construction and building trades supervisors,0,4,50,35.4682957019364,66600,66100,-1,704.1,750.1,719.6,783.5,525.4,533.2,0.0
166,5411,Weavers and knitters,0,4,44,31.240998703626616,3300,1800,-1,462.6,482.4,466.4,527.5,-1.0,-1.0,0.0
167,5412,Upholsterers,0,2,62,43.86342439892262,12400,11100,1300,481.1,491.5,510.9,543.9,367.1,406.1,0.10483871
168,5413,Footwear and leather working trades,0,3,55,38.94868418830089,4900,3200,-1,416.9,451.8,438.8,498.2,327.6,348.2,0.0
169,5414,Tailors and dressmakers,0,12,63,45.348649373492925,13500,4000,9500,-1.0,-1.0,-1.0,547.1,-1.0,-1.0,0.703703704
170,5419,"Textiles, garments and related trades n.e.c.",0,4,35,24.909837414162297,13000,4300,8700,383.4,432.3,377.0,502.2,-1.0,-1.0,0.669230769
171,5421,Pre-press technicians,0,0,56,39.597979746446654,3100,2300,-1,-1.0,525.9,-1.0,-1.0,-1.0,-1.0,0.0
172,5422,Printers,0,0,42,29.698484809834994,26600,23400,3100,500.8,512.3,505.3,523.3,358.4,466.0,0.116541353
173,5423,Print finishing and binding workers,0,0,55,38.89087296526011,11100,7600,3400,429.2,427.8,435.6,456.2,379.5,390.9,0.30630630600000003
174,5431,Butchers,0,3,77,54.4885309033011,32900,28600,4300,441.5,449.6,446.6,478.1,375.3,442.5,0.13069908800000002
175,5432,Bakers and flour confectioners,0,7,55,39.20459156782532,31400,12900,18500,380.8,368.1,388.8,411.6,363.1,363.5,0.589171975
176,5433,Fishmongers and poultry dressers,0,25,85,62.64982043070833,9000,6600,2300,361.6,350.7,372.5,403.8,327.1,340.9,0.255555556
177,5434,Chefs,0,15,81,58.249463516842795,246200,195200,51000,441.4,406.3,451.4,481.1,408.4,441.9,0.20714866
178,5435,Cooks,0,43,70,58.09044671888829,64100,18200,45900,348.9,269.2,380.5,434.8,339.4,356.1,0.716068643
179,5436,Catering and bar managers,0,15,82,58.94488951554663,67800,28500,39300,420.6,387.0,441.0,456.3,408.3,423.5,0.5796460179999999
180,5442,Furniture makers and other craft woodworkers,0,2,54,38.2099463490856,40200,36600,3700,433.7,455.7,433.9,465.6,-1.0,-1.0,0.092039801
181,5443,Florists,0,25,73,54.56189146281495,10000,-1,8300,310.3,283.6,-1.0,-1.0,310.3,399.1,0.83
182,6121,Nursery nurses and assistants,0,83,91,87.09190547921202,221300,7100,214200,347.8,283.6,404.0,426.4,346.4,359.1,0.967916855
183,6122,Childminders and related occupations,0,45,82,66.14000302388865,106200,2900,103300,422.6,314.8,-1.0,-1.0,423.4,475.9,0.972693032
184,6123,Playworker,0,45,82,66.14000302388865,32300,3200,29000,346.6,137.6,-1.0,-1.0,344.6,360.7,0.8978328170000001
185,6125,Teaching assistants,0,36,88,67.23094525588644,306600,29600,277000,354.1,274.9,380.7,416.1,351.0,365.5,0.903457273
186,6126,Educational support assistants,0,36,88,67.23094525588644,167100,18900,148300,343.8,265.6,365.1,383.4,341.8,360.9,0.887492519
187,6131,Veterinary nurses,0,67,92,80.47670470390794,14600,-1,13900,424.2,371.6,-1.0,-1.0,420.1,429.6,0.952054795
188,6132,Pest control officers,0,4,47,33.354160160315836,9400,9100,-1,463.1,480.0,457.9,483.3,-1.0,-1.0,0.0
189,6139,Animal care services occupations n.e.c.,0,87,88,87.50142855976695,77900,12900,65000,377.2,295.2,409.1,448.6,357.0,374.3,0.8344030809999999
190,6141,Nursing auxiliaries and assistants,0,83,91,87.09190547921202,321700,63000,258700,420.9,351.8,439.4,472.5,414.8,436.2,0.804165371
